Order Date,Order Date,Customer ID,Segment,City,State,State_code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
09-11-2013,Second Class,CG-12520,Consumer,Henderson,Kentucky,KY,South,Furniture,Bookcases,261.96,2,0,41.9136
09-11-2013,Second Class,CG-12520,Consumer,Henderson,Kentucky,KY,South,Furniture,Chairs,731.94,3,0,219.582
13-06-2013,Second Class,DV-13045,Corporate,Los Angeles,California,CA,West,Office Supplies,Labels,14.62,2,0,6.8714
11-10-2012,Standard Class,SO-20335,Consumer,Fort Lauderdale,Florida,FL,South,Furniture,Tables,957.5775,5,0.45,-383.031
11-10-2012,Standard Class,SO-20335,Consumer,Fort Lauderdale,Florida,FL,South,Office Supplies,Storage,22.368,2,0.2,2.5164
09-06-2011,Standard Class,BH-11710,Consumer,Los Angeles,California,CA,West,Furniture,Furnishings,48.86,7,0,14.1694
09-06-2011,Standard Class,BH-11710,Consumer,Los Angeles,California,CA,West,Office Supplies,Art,7.28,4,0,1.9656
09-06-2011,Standard Class,BH-11710,Consumer,Los Angeles,California,CA,West,Technology,Phones,907.152,6,0.2,90.7152
09-06-2011,Standard Class,BH-11710,Consumer,Los Angeles,California,CA,West,Office Supplies,Binders,18.504,3,0.2,5.7825
09-06-2011,Standard Class,BH-11710,Consumer,Los Angeles,California,CA,West,Office Supplies,Appliances,114.9,5,0,34.47
09-06-2011,Standard Class,BH-11710,Consumer,Los Angeles,California,CA,West,Furniture,Tables,1706.184,9,0.2,85.3092
09-06-2011,Standard Class,BH-11710,Consumer,Los Angeles,California,CA,West,Technology,Phones,911.424,4,0.2,68.3568
16-04-2014,Standard Class,AA-10480,Consumer,Concord,North Carolina,NC,South,Office Supplies,Paper,15.552,3,0.2,5.4432
06-12-2013,Standard Class,IM-15070,Consumer,Seattle,Washington,WA,West,Office Supplies,Binders,407.976,3,0.2,132.5922
22-11-2012,Standard Class,HP-14815,Home Office,Fort Worth,Texas,TX,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858
22-11-2012,Standard Class,HP-14815,Home Office,Fort Worth,Texas,TX,Central,Office Supplies,Binders,2.544,3,0.8,-3.816
11-11-2011,Standard Class,PK-19075,Consumer,Madison,Wisconsin,WI,Central,Office Supplies,Storage,665.88,6,0,13.3176
13-05-2011,Second Class,AG-10270,Consumer,West Jordan,Utah,UT,West,Office Supplies,Storage,55.5,2,0,9.99
27-08-2011,Second Class,ZD-21925,Consumer,San Francisco,California,CA,West,Office Supplies,Art,8.56,2,0,2.4824
27-08-2011,Second Class,ZD-21925,Consumer,San Francisco,California,CA,West,Technology,Phones,213.48,3,0.2,16.011
27-08-2011,Second Class,ZD-21925,Consumer,San Francisco,California,CA,West,Office Supplies,Binders,22.72,4,0.2,7.384
10-12-2013,Standard Class,KB-16585,Corporate,Fremont,Nebraska,NE,Central,Office Supplies,Art,19.46,7,0,5.0596
10-12-2013,Standard Class,KB-16585,Corporate,Fremont,Nebraska,NE,Central,Office Supplies,Appliances,60.34,7,0,15.6884
17-07-2014,Second Class,SF-20065,Consumer,Philadelphia,Pennsylvania,PA,East,Furniture,Chairs,71.372,2,0.3,-1.0196
25-09-2012,Standard Class,EB-13870,Consumer,Orem,Utah,UT,West,Furniture,Tables,1044.63,3,0,240.2649
16-01-2013,Second Class,EH-13945,Consumer,Los Angeles,California,CA,West,Office Supplies,Binders,11.648,2,0.2,4.2224
16-01-2013,Second Class,EH-13945,Consumer,Los Angeles,California,CA,West,Technology,Accessories,90.57,3,0,11.7741
17-09-2012,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,PA,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522
17-09-2012,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,PA,East,Office Supplies,Binders,9.618,2,0.7,-7.0532
17-09-2012,Standard Class,TB-21520,Consumer,Philadelphia,Pennsylvania,PA,East,Furniture,Furnishings,124.2,3,0.2,15.525
